Tarih;Şimdi;Açılış;Yüksek;Düşük;Hac.;Fark %;Şirket
06.12.2020;21,72;22,14;22,68;21,62;3,54M;-1,90%;AEFES
29.11.2020;22,14;22,46;22,82;20,94;44,57M;-1,51%;AEFES
22.11.2020;22,48;22,24;23,98;21,98;12,85M;1,35%;AEFES
15.11.2020;22,18;22,64;22,82;21,38;10,99M;-1,86%;AEFES
08.11.2020;22,60;21,64;22,90;21,20;13,11M;5,81%;AEFES
01.11.2020;21,36;19,52;21,52;19,52;8,75M;9,93%;AEFES
25.10.2020;19,43;22,76;22,76;19,43;6,31M;-15,30%;AEFES
18.10.2020;22,94;23,20;23,48;22,36;6,94M;-0,52%;AEFES
11.10.2020;23,06;22,10;23,06;22,08;6,94M;4,34%;AEFES
04.10.2020;22,10;20,94;22,58;20,92;14,15M;5,74%;AEFES
27.09.2020;20,90;20,82;21,18;20,50;6,01M;0,48%;AEFES
20.09.2020;20,80;20,92;21,20;20,08;6,07M;-0,95%;AEFES
13.09.2020;21,00;20,62;21,26;19,14;8,03M;1,94%;AEFES
06.09.2020;20,60;20,16;20,82;19,71;7,67M;2,49%;AEFES
30.08.2020;20,10;19,50;20,34;18,77;13,82M;2,87%;AEFES
23.08.2020;19,54;19,83;20,10;19,29;6,91M;-1,31%;AEFES
16.08.2020;19,80;20,16;20,30;19,27;8,39M;-1,79%;AEFES
09.08.2020;20,16;18,60;20,80;18,13;11,08M;8,10%;AEFES
02.08.2020;18,65;19,52;19,76;17,14;11,75M;-3,67%;AEFES
26.07.2020;19,36;20,74;21,06;19,11;7,91M;-6,47%;AEFES
19.07.2020;20,70;20,78;21,60;20,46;12,67M;-0,38%;AEFES
12.07.2020;20,78;20,74;21,38;20,58;14,07M;-6,48%;AEFES
05.07.2020;22,22;21,58;23,26;21,40;34,23M;4,12%;AEFES
28.06.2020;21,34;21,08;21,78;20,96;20,46M;1,33%;AEFES
21.06.2020;21,06;20,78;21,26;19,87;27,08M;2,23%;AEFES
14.06.2020;20,60;19,16;20,64;19,07;32,50M;6,30%;AEFES
07.06.2020;19,38;19,95;20,12;19,03;27,36M;-2,66%;AEFES
31.05.2020;19,91;18,66;20,42;18,40;62,19M;7,39%;AEFES
24.05.2020;18,54;18,35;19,20;18,15;37,55M;3,52%;AEFES
17.05.2020;17,91;17,01;17,93;17,01;37,22M;5,73%;AEFES
10.05.2020;16,94;17,04;17,46;16,80;12,42M;-0,59%;AEFES
03.05.2020;17,04;18,25;18,42;16,90;16,14M;-7,29%;AEFES
26.04.2020;18,38;18,18;18,59;18,15;15,13M;1,83%;AEFES
19.04.2020;18,05;18,52;18,72;17,96;6,36M;-1,96%;AEFES
12.04.2020;18,41;18,56;18,74;17,70;8,93M;-1,02%;AEFES
05.04.2020;18,60;17,95;19,25;17,95;5,53M;3,85%;AEFES
29.03.2020;17,91;17,42;18,28;16,98;6,90M;2,93%;AEFES
22.03.2020;17,40;17,35;19,78;17,02;4,50M;-1,75%;AEFES
15.03.2020;17,71;19,04;19,04;15,90;3,68M;-7,18%;AEFES
08.03.2020;19,08;22,58;22,90;17,85;5,22M;-17,76%;AEFES
01.03.2020;23,20;22,44;23,96;22,38;4,61M;5,74%;AEFES
23.02.2020;21,94;23,88;24,84;21,94;6,10M;-9,93%;AEFES
16.02.2020;24,36;24,72;25,28;23,66;3,08M;-0,98%;AEFES
09.02.2020;24,60;25,72;25,98;24,28;3,34M;-4,28%;AEFES
02.02.2020;25,70;24,84;25,98;24,68;3,49M;3,71%;AEFES
26.01.2020;24,78;25,82;26,26;24,10;3,39M;-4,69%;AEFES
19.01.2020;26,00;25,60;26,66;25,30;3,41M;1,64%;AEFES
12.01.2020;25,58;23,74;25,58;23,74;6,11M;8,30%;AEFES
05.01.2020;23,62;22,80;24,08;22,40;3,71M;2,34%;AEFES
29.12.2019;23,08;23,52;23,88;22,50;2,90M;-1,11%;AEFES
22.12.2019;23,34;22,40;23,94;22,38;4,29M;4,57%;AEFES
15.12.2019;22,32;22,06;22,98;21,94;5,57M;1,27%;AEFES
06.12.2020;6,31;6,13;6,37;6,02;110,12M;2,10%;AKBNK
29.11.2020;6,18;6,24;6,35;6,02;542,22M;-3,13%;AKBNK
22.11.2020;6,38;6,52;6,54;6,18;632,99M;-1,85%;AKBNK
15.11.2020;6,50;6,42;6,67;5,98;1,33B;3,01%;AKBNK
08.11.2020;6,31;5,26;6,52;5,21;1,47B;25,70%;AKBNK
01.11.2020;5,02;4,81;5,12;4,77;570,86M;5,24%;AKBNK
25.10.2020;4,77;5,01;5,01;4,75;271,54M;-5,73%;AKBNK
18.10.2020;5,06;5,24;5,47;5,01;638,42M;-2,69%;AKBNK
11.10.2020;5,20;5,18;5,22;5,06;345,78M;0,97%;AKBNK
04.10.2020;5,15;5,18;5,24;5,00;367,64M;0,00%;AKBNK
27.09.2020;5,15;5,12;5,27;4,94;485,66M;0,98%;AKBNK
20.09.2020;5,10;4,87;5,21;4,70;557,94M;4,72%;AKBNK
13.09.2020;4,87;4,93;4,93;4,84;199,81M;-1,02%;AKBNK
06.09.2020;4,92;4,93;4,99;4,88;291,87M;0,00%;AKBNK
30.08.2020;4,92;5,04;5,04;4,83;369,93M;-1,80%;AKBNK
23.08.2020;5,01;5,08;5,09;4,85;380,72M;-1,18%;AKBNK
16.08.2020;5,07;4,92;5,22;4,89;659,54M;2,84%;AKBNK
09.08.2020;4,93;4,72;5,13;4,68;754,07M;3,57%;AKBNK
02.08.2020;4,76;5,30;5,32;4,53;776,11M;-9,16%;AKBNK
26.07.2020;5,24;5,80;5,81;5,21;291,53M;-9,34%;AKBNK
19.07.2020;5,78;5,81;5,93;5,75;326,60M;-0,69%;AKBNK
12.07.2020;5,82;5,80;5,90;5,76;292,18M;1,22%;AKBNK
05.07.2020;5,75;5,97;6,14;5,66;558,72M;-2,54%;AKBNK
28.06.2020;5,90;5,90;6,17;5,86;555,35M;0,17%;AKBNK
21.06.2020;5,89;6,11;6,22;5,87;496,71M;-1,67%;AKBNK
14.06.2020;5,99;5,77;6,01;5,73;418,78M;3,10%;AKBNK
07.06.2020;5,81;5,94;5,99;5,74;322,98M;-1,86%;AKBNK
31.05.2020;5,92;5,75;5,92;5,71;380,95M;4,04%;AKBNK
24.05.2020;5,69;5,61;5,71;5,57;311,14M;3,08%;AKBNK
17.05.2020;5,52;5,50;5,55;5,46;221,94M;1,47%;AKBNK
10.05.2020;5,44;5,59;5,63;5,41;323,66M;-2,16%;AKBNK
03.05.2020;5,56;5,80;5,81;5,56;262,32M;-5,60%;AKBNK
26.04.2020;5,89;5,85;6,07;5,82;225,19M;2,61%;AKBNK
19.04.2020;5,74;5,81;5,84;5,65;162,43M;-0,86%;AKBNK
12.04.2020;5,79;5,97;6,14;5,60;393,86M;-5,39%;AKBNK
05.04.2020;6,12;5,53;6,25;5,46;306,34M;12,92%;AKBNK
29.03.2020;5,42;5,51;5,70;5,38;255,63M;-1,99%;AKBNK
22.03.2020;5,53;5,30;5,91;5,05;318,77M;0,18%;AKBNK
15.03.2020;5,52;6,11;6,25;5,50;194,63M;-14,42%;AKBNK
08.03.2020;6,45;7,10;7,22;6,24;165,77M;-11,52%;AKBNK
01.03.2020;7,29;6,97;7,62;6,81;178,23M;7,84%;AKBNK
23.02.2020;6,76;7,50;7,63;6,25;175,39M;-12,09%;AKBNK
16.02.2020;7,69;8,20;8,20;7,55;140,98M;-5,06%;AKBNK
09.02.2020;8,10;8,37;8,43;8,03;198,55M;-3,91%;AKBNK
02.02.2020;8,43;8,31;8,84;8,24;173,60M;2,06%;AKBNK
26.01.2020;8,26;8,56;8,69;8,20;161,64M;-5,71%;AKBNK
19.01.2020;8,76;8,85;8,99;8,58;163,40M;-0,68%;AKBNK
12.01.2020;8,82;8,82;8,95;8,62;193,91M;1,50%;AKBNK
05.01.2020;8,69;7,81;8,77;7,66;166,89M;9,45%;AKBNK
29.12.2019;7,94;8,24;8,33;7,90;86,93M;-3,41%;AKBNK
22.12.2019;8,22;8,15;8,37;8,11;43,30M;1,11%;AKBNK
15.12.2019;8,13;8,02;8,31;7,95;116,81M;1,37%;AKBNK
06.12.2020;24,100;23,700;25,560;23,700;1,74M;1,18%;DEVA
29.11.2020;23,820;24,100;26,360;23,700;30,32M;-0,67%;DEVA
22.11.2020;23,980;23,900;24,700;22,960;18,65M;0,67%;DEVA
15.11.2020;23,820;23,960;25,060;23,280;16,46M;0,17%;DEVA
08.11.2020;23,780;25,600;25,620;23,000;29,87M;1,62%;DEVA
01.11.2020;23,400;21,740;24,800;21,500;26,42M;8,84%;DEVA
25.10.2020;21,500;23,180;26,340;20,940;54,70M;-6,11%;DEVA
18.10.2020;22,900;20,520;23,720;20,480;38,88M;13,25%;DEVA
11.10.2020;20,220;19,830;21,680;19,740;30,70M;2,28%;DEVA
04.10.2020;19,770;18,680;20,220;18,600;18,81M;6,63%;DEVA
27.09.2020;18,540;18,760;18,920;18,280;11,76M;-1,17%;DEVA
20.09.2020;18,760;19,310;19,410;18,720;9,30M;-3,00%;DEVA
13.09.2020;19,340;19,190;20,240;19,090;21,46M;1,42%;DEVA
06.09.2020;19,070;18,730;19,500;18,700;20,06M;1,87%;DEVA
30.08.2020;18,720;19,510;21,060;18,620;29,84M;-2,80%;DEVA
23.08.2020;19,260;19,760;19,980;18,980;17,09M;-2,43%;DEVA
16.08.2020;19,740;21,680;22,300;19,580;22,30M;-12,96%;DEVA
09.08.2020;22,680;21,400;23,300;21,020;34,44M;6,68%;DEVA
02.08.2020;21,260;21,120;23,780;18,900;43,65M;0,66%;DEVA
26.07.2020;21,120;20,500;22,880;18,960;23,48M;3,63%;DEVA
19.07.2020;20,380;20,300;21,380;19,700;14,00M;0,79%;DEVA
12.07.2020;20,220;19,520;20,520;19,310;7,79M;5,31%;DEVA
05.07.2020;19,200;20,060;20,700;18,940;12,89M;-3,27%;DEVA
28.06.2020;19,850;19,050;20,660;19,000;17,05M;4,20%;DEVA
21.06.2020;19,050;19,450;20,200;18,770;15,93M;-1,30%;DEVA
14.06.2020;19,300;18,430;21,880;18,220;41,72M;6,63%;DEVA
07.06.2020;18,100;18,450;19,170;17,700;15,25M;-1,36%;DEVA
31.05.2020;18,350;18,780;19,900;18,110;8,52M;-2,29%;DEVA
24.05.2020;18,780;17,980;19,150;17,700;3,48M;5,80%;DEVA
17.05.2020;17,750;18,800;18,830;17,040;5,19M;-6,08%;DEVA
10.05.2020;18,900;15,840;20,840;15,840;10,67M;31,25%;DEVA
03.05.2020;14,400;14,580;16,030;13,130;12,43M;-11,11%;DEVA
26.04.2020;16,200;15,770;19,070;15,770;17,43M;12,19%;DEVA
19.04.2020;14,440;10,880;14,440;10,730;45,32M;32,97%;DEVA
12.04.2020;10,860;10,120;11,640;9,770;38,55M;7,31%;DEVA
05.04.2020;10,120;10,140;10,550;9,700;30,06M;1,00%;DEVA
29.03.2020;10,020;11,400;11,690;9,510;42,99M;-10,30%;DEVA
22.03.2020;11,170;8,480;12,520;8,100;79,86M;31,41%;DEVA
15.03.2020;8,500;9,920;10,120;7,000;31,50M;-11,18%;DEVA
08.03.2020;9,570;9,700;11,920;8,250;81,22M;-0,62%;DEVA
01.03.2020;9,630;9,500;10,060;9,220;4,05M;3,10%;DEVA
23.02.2020;9,340;10,600;10,810;8,110;4,10M;-12,95%;DEVA
16.02.2020;10,730;11,360;11,480;10,240;5,73M;-4,96%;DEVA
09.02.2020;11,290;11,360;11,450;10,620;6,28M;-0,79%;DEVA
02.02.2020;11,380;11,250;11,800;11,040;7,47M;1,43%;DEVA
26.01.2020;11,220;10,600;11,440;10,550;10,50M;5,95%;DEVA
19.01.2020;10,590;9,300;10,710;9,240;9,16M;15,11%;DEVA
12.01.2020;9,200;8,900;9,450;8,870;6,13M;4,31%;DEVA
05.01.2020;8,820;8,760;9,000;8,310;4,25M;0,46%;DEVA
29.12.2019;8,780;9,000;9,220;8,540;3,54M;-1,79%;DEVA
22.12.2019;8,940;8,340;9,080;8,260;5,33M;7,19%;DEVA
15.12.2019;8,340;8,630;8,700;8,060;4,04M;-3,14%;DEVA
06.12.2020;2,620;2,680;2,690;2,560;11,75M;-2,24%;DGKLB
29.11.2020;2,680;2,650;2,720;2,570;131,71M;-0,37%;DGKLB
22.11.2020;2,690;2,670;2,760;2,570;166,65M;1,13%;DGKLB
15.11.2020;2,660;2,720;2,750;2,540;151,15M;-0,75%;DGKLB
08.11.2020;2,680;2,730;2,820;2,550;187,42M;-0,74%;DGKLB
01.11.2020;2,700;2,530;2,760;2,490;149,17M;7,14%;DGKLB
25.10.2020;2,520;2,840;2,840;2,410;98,86M;-12,20%;DGKLB
18.10.2020;2,870;2,720;3,380;2,720;513,10M;6,30%;DGKLB
11.10.2020;2,700;2,640;2,800;2,630;181,65M;3,05%;DGKLB
04.10.2020;2,620;2,460;2,660;2,440;147,09M;6,07%;DGKLB
27.09.2020;2,470;2,460;2,530;2,410;84,61M;0,00%;DGKLB
20.09.2020;2,470;2,610;2,610;2,470;129,51M;-5,36%;DGKLB
13.09.2020;2,610;2,680;3,000;2,590;360,12M;-1,88%;DGKLB
06.09.2020;2,660;2,660;2,920;2,600;162,16M;0,76%;DGKLB
30.08.2020;2,640;2,660;2,740;2,490;93,06M;-0,38%;DGKLB
23.08.2020;2,650;2,480;2,820;2,470;38,02M;6,85%;DGKLB
16.08.2020;2,480;2,700;2,710;2,470;19,99M;-8,82%;DGKLB
09.08.2020;2,720;2,880;3,140;2,430;243,18M;-5,23%;DGKLB
02.08.2020;2,870;2,860;3,070;2,370;412,70M;2,50%;DGKLB
26.07.2020;2,800;2,650;2,860;2,550;233,08M;6,46%;DGKLB
19.07.2020;2,630;2,870;3,140;2,560;269,15M;-8,04%;DGKLB
12.07.2020;2,860;2,570;3,020;2,570;228,23M;17,21%;DGKLB
05.07.2020;2,440;2,840;2,860;2,260;204,16M;-13,17%;DGKLB
28.06.2020;2,810;2,530;2,930;2,520;484,13M;12,40%;DGKLB
21.06.2020;2,500;2,120;2,610;2,120;421,51M;21,36%;DGKLB
14.06.2020;2,060;2,000;2,150;1,980;128,44M;1,98%;DGKLB
07.06.2020;2,020;2,010;2,110;1,970;126,02M;0,50%;DGKLB
31.05.2020;2,010;1,960;2,190;1,940;174,59M;3,61%;DGKLB
24.05.2020;1,940;1,910;2,030;1,890;138,18M;3,74%;DGKLB
17.05.2020;1,870;1,890;1,930;1,840;76,11M;0,54%;DGKLB
10.05.2020;1,860;1,820;1,940;1,750;192,90M;3,91%;DGKLB
03.05.2020;1,790;1,620;1,910;1,590;198,47M;8,48%;DGKLB
26.04.2020;1,650;1,530;1,770;1,530;174,16M;9,27%;DGKLB
19.04.2020;1,510;1,490;1,560;1,460;80,34M;3,42%;DGKLB
12.04.2020;1,460;1,370;1,570;1,370;172,49M;3,55%;DGKLB
05.04.2020;1,410;1,300;1,450;1,280;137,00M;11,02%;DGKLB
29.03.2020;1,270;1,190;1,330;1,140;139,67M;10,43%;DGKLB
22.03.2020;1,150;1,020;1,260;0,990;128,05M;8,49%;DGKLB
15.03.2020;1,060;1,130;1,200;0,990;62,86M;-13,11%;DGKLB
08.03.2020;1,220;1,840;1,870;1,050;119,82M;-36,79%;DGKLB
01.03.2020;1,930;1,900;2,130;1,860;142,20M;7,22%;DGKLB
23.02.2020;1,800;2,070;2,160;1,520;152,42M;-15,89%;DGKLB
16.02.2020;2,140;2,270;2,320;1,940;110,30M;-5,31%;DGKLB
09.02.2020;2,260;2,300;2,380;2,030;128,87M;-1,74%;DGKLB
02.02.2020;2,300;2,150;2,620;2,100;234,96M;8,49%;DGKLB
26.01.2020;2,120;2,060;2,390;2,040;290,77M;1,44%;DGKLB
19.01.2020;2,090;1,790;2,170;1,760;358,19M;18,08%;DGKLB
12.01.2020;1,770;1,700;1,790;1,670;156,31M;5,99%;DGKLB
05.01.2020;1,670;1,650;1,700;1,510;121,76M;-0,60%;DGKLB
29.12.2019;1,680;1,610;1,770;1,610;137,19M;5,00%;DGKLB
22.12.2019;1,600;1,730;1,740;1,550;116,85M;-7,51%;DGKLB
15.12.2019;1,730;1,720;1,830;1,700;132,04M;1,17%;DGKLB
06.12.2020;7,090;7,040;7,530;7,030;17,08M;1,14%;ECILC
29.11.2020;7,010;6,970;7,490;6,970;283,74M;1,30%;ECILC
22.11.2020;6,920;6,920;7,150;6,760;194,58M;0,44%;ECILC
15.11.2020;6,890;6,940;7,200;6,780;151,18M;0,00%;ECILC
08.11.2020;6,890;7,180;7,230;6,570;144,38M;-3,37%;ECILC
01.11.2020;7,130;6,600;7,330;6,530;307,78M;8,52%;ECILC
25.10.2020;6,570;7,240;7,740;6,480;344,39M;-8,11%;ECILC
18.10.2020;7,150;7,010;7,300;6,930;194,57M;2,58%;ECILC
11.10.2020;6,970;6,760;7,590;6,700;440,51M;3,57%;ECILC
04.10.2020;6,730;6,750;6,890;6,640;105,44M;0,00%;ECILC
27.09.2020;6,730;6,670;7,030;6,620;110,82M;0,60%;ECILC
20.09.2020;6,690;6,640;6,820;6,580;88,05M;1,06%;ECILC
13.09.2020;6,620;6,650;7,050;6,610;218,90M;0,00%;ECILC
06.09.2020;6,620;6,180;6,740;6,180;168,63M;7,82%;ECILC
30.08.2020;6,140;5,770;6,350;5,740;157,18M;6,41%;ECILC
23.08.2020;5,770;5,790;5,920;5,600;83,72M;0,17%;ECILC
16.08.2020;5,760;5,760;5,880;5,630;70,83M;0,17%;ECILC
09.08.2020;5,750;5,880;6,100;5,700;157,76M;-2,71%;ECILC
02.08.2020;5,910;6,380;6,440;5,510;248,96M;-6,34%;ECILC
26.07.2020;6,310;6,330;6,600;5,940;162,00M;0,48%;ECILC
19.07.2020;6,280;6,390;6,740;6,260;122,93M;-1,72%;ECILC
12.07.2020;6,390;6,320;6,680;6,270;84,51M;2,57%;ECILC
05.07.2020;6,230;6,470;7,100;6,080;222,31M;-2,96%;ECILC
28.06.2020;6,420;6,170;6,690;6,100;207,48M;4,39%;ECILC
21.06.2020;6,150;5,970;6,510;5,860;248,64M;3,54%;ECILC
14.06.2020;5,940;5,980;6,580;5,910;347,68M;1,54%;ECILC
07.06.2020;5,850;5,660;6,110;5,580;215,36M;3,36%;ECILC
31.05.2020;5,660;5,650;5,850;5,600;181,50M;0,71%;ECILC
24.05.2020;5,620;5,820;5,950;5,580;84,81M;-1,40%;ECILC
17.05.2020;5,700;6,040;6,110;5,530;206,13M;-1,21%;ECILC
10.05.2020;5,770;4,700;6,550;4,650;614,83M;28,51%;ECILC
03.05.2020;4,490;4,750;4,940;4,480;124,66M;-6,07%;ECILC
26.04.2020;4,780;4,950;5,360;4,670;491,20M;-0,83%;ECILC
19.04.2020;4,820;4,590;5,020;4,490;491,59M;5,47%;ECILC
12.04.2020;4,570;4,408;4,940;4,270;451,24M;1,78%;ECILC
05.04.2020;4,490;4,530;4,670;4,220;289,97M;0,67%;ECILC
29.03.2020;4,460;5,190;5,340;4,180;399,21M;-12,20%;ECILC
22.03.2020;5,080;3,350;5,290;3,340;311,02M;53,01%;ECILC
15.03.2020;3,320;4,270;4,330;2,930;251,23M;-18,23%;ECILC
08.03.2020;4,060;3,720;4,880;3,330;269,11M;5,45%;ECILC
01.03.2020;3,850;3,910;4,070;3,750;40,83M;0,79%;ECILC
23.02.2020;3,820;4,050;4,310;3,150;64,05M;-6,83%;ECILC
16.02.2020;4,100;4,350;4,450;3,970;90,32M;-4,87%;ECILC
09.02.2020;4,310;4,150;4,320;3,940;77,30M;3,61%;ECILC
02.02.2020;4,160;4,180;4,310;4,150;89,26M;-0,48%;ECILC
26.01.2020;4,180;4,140;4,350;4,050;126,09M;-0,24%;ECILC
19.01.2020;4,190;3,980;4,300;3,960;185,71M;5,54%;ECILC
12.01.2020;3,970;3,960;4,020;3,840;126,59M;1,28%;ECILC
05.01.2020;3,920;3,610;3,950;3,530;75,05M;6,81%;ECILC
29.12.2019;3,670;3,690;3,790;3,560;51,85M;-0,27%;ECILC
22.12.2019;3,680;3,690;3,850;3,660;97,35M;-0,27%;ECILC
15.12.2019;3,690;3,720;3,830;3,560;117,48M;-0,27%;ECILC
06.12.2020;11,12;11,00;11,33;10,79;6,09M;1,09%;ENJSA
29.11.2020;11,00;10,60;11,15;10,51;28,15M;3,77%;ENJSA
22.11.2020;10,60;9,95;10,64;9,95;36,78M;6,64%;ENJSA
15.11.2020;9,94;10,28;10,33;9,60;42,10M;-1,78%;ENJSA
08.11.2020;10,12;9,92;10,12;9,68;24,77M;2,95%;ENJSA
01.11.2020;9,83;8,99;9,91;8,99;24,93M;9,34%;ENJSA
25.10.2020;8,99;9,49;9,49;8,43;12,56M;-5,37%;ENJSA
18.10.2020;9,50;9,44;9,75;9,26;19,02M;0,74%;ENJSA
11.10.2020;9,43;9,41;9,68;9,21;21,17M;1,18%;ENJSA
04.10.2020;9,32;8,89;9,47;8,80;20,11M;5,43%;ENJSA
27.09.2020;8,84;8,69;9,04;8,62;12,33M;2,08%;ENJSA
20.09.2020;8,66;8,72;8,89;8,59;10,35M;-0,46%;ENJSA
13.09.2020;8,70;8,53;8,85;8,44;17,20M;1,99%;ENJSA
06.09.2020;8,53;8,21;8,75;8,13;19,34M;4,15%;ENJSA
30.08.2020;8,19;8,13;8,41;8,01;12,44M;0,74%;ENJSA
23.08.2020;8,13;8,48;8,54;8,08;12,33M;-4,13%;ENJSA
16.08.2020;8,48;8,63;9,10;8,35;39,96M;-1,74%;ENJSA
09.08.2020;8,63;8,50;9,00;8,40;16,64M;1,41%;ENJSA
02.08.2020;8,51;8,45;8,85;7,96;20,80M;2,65%;ENJSA
26.07.2020;8,29;8,48;8,74;8,29;17,13M;-1,89%;ENJSA
19.07.2020;8,45;8,76;8,85;8,39;12,74M;-3,54%;ENJSA
12.07.2020;8,76;8,70;8,87;8,61;12,00M;1,74%;ENJSA
05.07.2020;8,61;8,74;9,11;8,22;25,71M;-0,12%;ENJSA
28.06.2020;8,62;8,32;8,81;8,29;27,06M;3,73%;ENJSA
